Year,Race,Household_Income_by_Race1,Household_Income_by_Race2,Household_Income_by_RaceMoe,Geography,Census_Tract_No,County,State,ID_Geography,Geoid10
2017,Total,69167," $69,167 "," $10,089 ","Census Tract 318, Cook County, IL",318,Cook County,IL,14000US17031031800,17031031800
2017,Total,23354," $23,354 "," $3,328 ","Census Tract 6805, Cook County, IL",6805,Cook County,IL,14000US17031680500,17031680500
2017,Total,61211," $61,211 "," $6,343 ","Census Tract 319, Cook County, IL",319,Cook County,IL,14000US17031031900,17031031900
2017,Total,32236," $32,236 "," $7,605 ","Census Tract 8428, Cook County, IL",8428,Cook County,IL,14000US17031842800,17031842800
2017,Total,52335," $52,335 "," $7,407 ","Census Tract 321, Cook County, IL",321,Cook County,IL,14000US17031032100,17031032100
2017,Total,23026," $23,026 "," $7,279 ","Census Tract 7107, Cook County, IL",7107,Cook County,IL,14000US17031710700,17031710700
2017,Total,79688," $79,688 "," $9,701 ","Census Tract 401, Cook County, IL",401,Cook County,IL,14000US17031040100,17031040100
2017,Total,39191," $39,191 "," $6,483 ","Census Tract 6720, Cook County, IL",6720,Cook County,IL,14000US17031672000,17031672000
2017,Total,68082," $68,082 "," $6,749 ","Census Tract 402.01, Cook County, IL",402.01,Cook County,IL,14000US17031040201,17031040201
2017,Total,48095," $48,095 "," $8,468 ","Census Tract 6719, Cook County, IL",6719,Cook County,IL,14000US17031671900,17031671900
2017,Total,39601," $39,601 "," $8,044 ","Census Tract 402.02, Cook County, IL",402.02,Cook County,IL,14000US17031040202,17031040202
2017,Total,58315," $58,315 "," $7,446 ","Census Tract 8426, Cook County, IL",8426,Cook County,IL,14000US17031842600,17031842600
2017,Total,96369," $96,369 "," $16,657 ","Census Tract 403, Cook County, IL",403,Cook County,IL,14000US17031040300,17031040300
2017,Total,35962," $35,962 "," $16,217 ","Census Tract 6718, Cook County, IL",6718,Cook County,IL,14000US17031671800,17031671800
2017,Total,90243," $90,243 "," $12,120 ","Census Tract 404.01, Cook County, IL",404.01,Cook County,IL,14000US17031040401,17031040401
2017,Total,23203," $23,203 "," $9,180 ","Census Tract 6716, Cook County, IL",6716,Cook County,IL,14000US17031671600,17031671600
2017,Total,81496," $81,496 "," $23,849 ","Census Tract 404.02, Cook County, IL",404.02,Cook County,IL,14000US17031040402,17031040402
2017,Total,85745," $85,745 "," $5,424 ","Census Tract 406, Cook County, IL",406,Cook County,IL,14000US17031040600,17031040600
2017,Total,10471," $10,471 "," $3,626 ","Census Tract 8425, Cook County, IL",8425,Cook County,IL,14000US17031842500,17031842500
2017,Total,27367," $27,367 "," $11,384 ","Census Tract 7108, Cook County, IL",7108,Cook County,IL,14000US17031710800,17031710800
2017,Total,76750," $76,750 "," $13,092 ","Census Tract 407, Cook County, IL",407,Cook County,IL,14000US17031040700,17031040700
2017,Total,28403," $28,403 "," $4,215 ","Census Tract 6715, Cook County, IL",6715,Cook County,IL,14000US17031671500,17031671500
2017,Total,74688," $74,688 "," $9,831 ","Census Tract 408, Cook County, IL",408,Cook County,IL,14000US17031040800,17031040800
2017,Total,24306," $24,306 "," $4,399 ","Census Tract 6714, Cook County, IL",6714,Cook County,IL,14000US17031671400,17031671400
2017,Total,76607," $76,607 "," $17,373 ","Census Tract 409, Cook County, IL",409,Cook County,IL,14000US17031040900,17031040900
2017,Total,95750," $95,750 "," $15,161 ","Census Tract 501, Cook County, IL",501,Cook County,IL,14000US17031050100,17031050100
2017,Total,39161," $39,161 "," $5,868 ","Census Tract 8424, Cook County, IL",8424,Cook County,IL,14000US17031842400,17031842400
2017,Total,31429," $31,429 "," $9,855 ","Census Tract 6713, Cook County, IL",6713,Cook County,IL,14000US17031671300,17031671300
2017,Total,74375," $74,375 "," $18,773 ","Census Tract 502, Cook County, IL",502,Cook County,IL,14000US17031050200,17031050200
2017,Total,79183," $79,183 "," $9,723 ","Census Tract 503, Cook County, IL",503,Cook County,IL,14000US17031050300,17031050300
2017,Total,20909," $20,909 "," $5,865 ","Census Tract 6712, Cook County, IL",6712,Cook County,IL,14000US17031671200,17031671200
2017,Total,121591," $121,591 "," $31,405 ","Census Tract 505, Cook County, IL",505,Cook County,IL,14000US17031050500,17031050500
2017,Total,104955," $104,955 "," $23,709 ","Census Tract 506, Cook County, IL",506,Cook County,IL,14000US17031050600,17031050600
2017,Total,123750," $123,750 "," $29,156 ","Census Tract 8423, Cook County, IL",8423,Cook County,IL,14000US17031842300,17031842300
2017,Total,23929," $23,929 "," $6,404 ","Census Tract 7109, Cook County, IL",7109,Cook County,IL,14000US17031710900,17031710900
2017,Total,128676," $128,676 "," $17,966 ","Census Tract 507, Cook County, IL",507,Cook County,IL,14000US17031050700,17031050700
2017,Total,30577," $30,577 "," $9,456 ","Census Tract 6711, Cook County, IL",6711,Cook County,IL,14000US17031671100,17031671100
2017,Total,111190," $111,190 "," $11,511 ","Census Tract 508, Cook County, IL",508,Cook County,IL,14000US17031050800,17031050800
2017,Total,35592," $35,592 "," $17,340 ","Census Tract 6709, Cook County, IL",6709,Cook County,IL,14000US17031670900,17031670900
2017,Total,87625," $87,625 "," $15,675 ","Census Tract 509, Cook County, IL",509,Cook County,IL,14000US17031050900,17031050900
2017,Total,106310," $106,310 "," $17,669 ","Census Tract 510, Cook County, IL",510,Cook County,IL,14000US17031051000,17031051000
2017,Total,92227," $92,227 "," $16,504 ","Census Tract 8422, Cook County, IL",8422,Cook County,IL,14000US17031842200,17031842200
2017,Total,22083," $22,083 "," $5,696 ","Census Tract 6708, Cook County, IL",6708,Cook County,IL,14000US17031670800,17031670800
2017,Total,124583," $124,583 "," $29,183 ","Census Tract 511, Cook County, IL",511,Cook County,IL,14000US17031051100,17031051100
2017,Total,120865," $120,865 "," $22,488 ","Census Tract 512, Cook County, IL",512,Cook County,IL,14000US17031051200,17031051200
2017,Total,36058," $36,058 "," $8,726 ","Census Tract 6707, Cook County, IL",6707,Cook County,IL,14000US17031670700,17031670700
2017,Total,149271," $149,271 "," $26,389 ","Census Tract 513, Cook County, IL",513,Cook County,IL,14000US17031051300,17031051300
2017,Total,100795," $100,795 "," $9,544 ","Census Tract 514, Cook County, IL",514,Cook County,IL,14000US17031051400,17031051400
2017,Total,33945," $33,945 "," $8,000 ","Census Tract 8421, Cook County, IL",8421,Cook County,IL,14000US17031842100,17031842100
2017,Total,33664," $33,664 "," $4,372 ","Census Tract 7110, Cook County, IL",7110,Cook County,IL,14000US17031711000,17031711000
2017,Total,91298," $91,298 "," $13,912 ","Census Tract 601, Cook County, IL",601,Cook County,IL,14000US17031060100,17031060100
2017,Total,14848," $14,848 "," $10,372 ","Census Tract 6706, Cook County, IL",6706,Cook County,IL,14000US17031670600,17031670600
2017,Total,69650," $69,650 "," $21,797 ","Census Tract 602, Cook County, IL",602,Cook County,IL,14000US17031060200,17031060200
2017,Total,26087," $26,087 "," $3,553 ","Census Tract 6705, Cook County, IL",6705,Cook County,IL,14000US17031670500,17031670500
2017,Total,114412," $114,412 "," $27,136 ","Census Tract 603, Cook County, IL",603,Cook County,IL,14000US17031060300,17031060300
2017,Total,123984," $123,984 "," $15,438 ","Census Tract 604, Cook County, IL",604,Cook County,IL,14000US17031060400,17031060400
2017,Total,85057," $85,057 "," $14,634 ","Census Tract 8420, Cook County, IL",8420,Cook County,IL,14000US17031842000,17031842000
2017,Total,26289," $26,289 "," $5,398 ","Census Tract 6704, Cook County, IL",6704,Cook County,IL,14000US17031670400,17031670400
2017,Total,41818," $41,818 "," $9,462 ","Census Tract 605, Cook County, IL",605,Cook County,IL,14000US17031060500,17031060500
2017,Total,85132," $85,132 "," $9,715 ","Census Tract 608, Cook County, IL",608,Cook County,IL,14000US17031060800,17031060800
2017,Total,21230," $21,230 "," $2,127 ","Census Tract 6703, Cook County, IL",6703,Cook County,IL,14000US17031670300,17031670300
2017,Total,57305," $57,305 "," $5,480 ","Census Tract 609, Cook County, IL",609,Cook County,IL,14000US17031060900,17031060900
2017,Total,108625," $108,625 "," $15,151 ","Census Tract 610, Cook County, IL",610,Cook County,IL,14000US17031061000,17031061000
2017,Total,113882," $113,882 "," $9,016 ","Census Tract 8419, Cook County, IL",8419,Cook County,IL,14000US17031841900,17031841900
2017,Total,37377," $37,377 "," $8,318 ","Census Tract 7111, Cook County, IL",7111,Cook County,IL,14000US17031711100,17031711100
2017,Total,107250," $107,250 "," $7,859 ","Census Tract 611, Cook County, IL",611,Cook County,IL,14000US17031061100,17031061100
2017,Total,22625," $22,625 "," $7,144 ","Census Tract 6702, Cook County, IL",6702,Cook County,IL,14000US17031670200,17031670200
2017,Total,106823," $106,823 "," $14,880 ","Census Tract 612, Cook County, IL",612,Cook County,IL,14000US17031061200,17031061200
2017,Total,35000," $35,000 "," $14,615 ","Census Tract 6701, Cook County, IL",6701,Cook County,IL,14000US17031670100,17031670100
2017,Total,117656," $117,656 "," $11,416 ","Census Tract 615, Cook County, IL",615,Cook County,IL,14000US17031061500,17031061500
2017,Total,65469," $65,469 "," $9,045 ","Census Tract 618, Cook County, IL",618,Cook County,IL,14000US17031061800,17031061800
2017,Total,36250," $36,250 "," $10,636 ","Census Tract 8418, Cook County, IL",8418,Cook County,IL,14000US17031841800,17031841800
2017,Total,46050," $46,050 "," $8,169 ","Census Tract 6611, Cook County, IL",6611,Cook County,IL,14000US17031661100,17031661100
2017,Total,58375," $58,375 "," $14,812 ","Census Tract 619.01, Cook County, IL",619.01,Cook County,IL,14000US17031061901,17031061901
2017,Total,63897," $63,897 "," $9,223 ","Census Tract 619.02, Cook County, IL",619.02,Cook County,IL,14000US17031061902,17031061902
2017,Total,32374," $32,374 "," $4,117 ","Census Tract 6610, Cook County, IL",6610,Cook County,IL,14000US17031661000,17031661000
2017,Total,74250," $74,250 "," $13,853 ","Census Tract 620, Cook County, IL",620,Cook County,IL,14000US17031062000,17031062000
2017,Total,91375," $91,375 "," $23,335 ","Census Tract 621, Cook County, IL",621,Cook County,IL,14000US17031062100,17031062100
2017,Total,19630," $19,630 "," $7,857 ","Census Tract 8417, Cook County, IL",8417,Cook County,IL,14000US17031841700,17031841700
2017,Total,42667," $42,667 "," $14,530 ","Census Tract 7112, Cook County, IL",7112,Cook County,IL,14000US17031711200,17031711200
2017,Total,108313," $108,313 "," $16,965 ","Census Tract 622, Cook County, IL",622,Cook County,IL,14000US17031062200,17031062200
2017,Total,29125," $29,125 "," $6,616 ","Census Tract 6609, Cook County, IL",6609,Cook County,IL,14000US17031660900,17031660900
2017,Total,136250," $136,250 "," $21,235 ","Census Tract 623, Cook County, IL",623,Cook County,IL,14000US17031062300,17031062300
2017,Total,37690," $37,690 "," $5,069 ","Census Tract 6608, Cook County, IL",6608,Cook County,IL,14000US17031660800,17031660800
2017,Total,138977," $138,977 "," $22,707 ","Census Tract 624, Cook County, IL",624,Cook County,IL,14000US17031062400,17031062400
2017,Total,128438," $128,438 "," $32,652 ","Census Tract 625, Cook County, IL",625,Cook County,IL,14000US17031062500,17031062500
2017,Total,21767," $21,767 "," $4,389 ","Census Tract 8416, Cook County, IL",8416,Cook County,IL,14000US17031841600,17031841600
2017,Total,27344," $27,344 "," $12,277 ","Census Tract 6607, Cook County, IL",6607,Cook County,IL,14000US17031660700,17031660700
2017,Total,144211," $144,211 "," $22,537 ","Census Tract 626, Cook County, IL",626,Cook County,IL,14000US17031062600,17031062600
2017,Total,135096," $135,096 "," $26,183 ","Census Tract 627, Cook County, IL",627,Cook County,IL,14000US17031062700,17031062700
2017,Total,27426," $27,426 "," $3,428 ","Census Tract 6606, Cook County, IL",6606,Cook County,IL,14000US17031660600,17031660600
2017,Total,140972," $140,972 "," $20,467 ","Census Tract 628, Cook County, IL",628,Cook County,IL,14000US17031062800,17031062800
2017,Total,116250," $116,250 "," $25,798 ","Census Tract 629, Cook County, IL",629,Cook County,IL,14000US17031062900,17031062900
2017,Total,24858," $24,858 "," $4,137 ","Census Tract 8415, Cook County, IL",8415,Cook County,IL,14000US17031841500,17031841500
2017,Total,36307," $36,307 "," $10,305 ","Census Tract 7113, Cook County, IL",7113,Cook County,IL,14000US17031711300,17031711300
2017,Total,95625," $95,625 "," $5,204 ","Census Tract 630, Cook County, IL",630,Cook County,IL,14000US17031063000,17031063000
2017,Total,40000," $40,000 "," $6,483 ","Census Tract 6605, Cook County, IL",6605,Cook County,IL,14000US17031660500,17031660500
2017,Total,92933," $92,933 "," $6,729 ","Census Tract 631, Cook County, IL",631,Cook County,IL,14000US17031063100,17031063100
2017,Total,45550," $45,550 "," $7,578 ","Census Tract 6604, Cook County, IL",6604,Cook County,IL,14000US17031660400,17031660400
2017,Total,64322," $64,322 "," $10,701 ","Census Tract 632, Cook County, IL",632,Cook County,IL,14000US17031063200,17031063200
2017,Total,48906," $48,906 "," $12,782 ","Census Tract 633.01, Cook County, IL",633.01,Cook County,IL,14000US17031063301,17031063301
2017,Total,29338," $29,338 "," $9,651 ","Census Tract 8414, Cook County, IL",8414,Cook County,IL,14000US17031841400,17031841400
2017,Total,31994," $31,994 "," $9,129 ","Census Tract 6603.02, Cook County, IL",6603.02,Cook County,IL,14000US17031660302,17031660302
2017,Total,74805," $74,805 "," $10,031 ","Census Tract 633.02, Cook County, IL",633.02,Cook County,IL,14000US17031063302,17031063302
2017,Total,78580," $78,580 "," $13,537 ","Census Tract 633.03, Cook County, IL",633.03,Cook County,IL,14000US17031063303,17031063303
