Year,Race,Household_Income_by_Race1,Household_Income_by_Race2,Household_Income_by_RaceMoe,Geography,Census_Tract_No,County,State,ID_Geography,Geoid10
2017,Total,81763," $81,763 "," $6,121 ","Census Tract 5611, Cook County, IL",5611,Cook County,IL,14000US17031561100,17031561100
2017,Total,47750," $47,750 "," $4,628 ","Census Tract 1911, Cook County, IL",1911,Cook County,IL,14000US17031191100,17031191100
2017,Total,84863," $84,863 "," $23,581 ","Census Tract 5610, Cook County, IL",5610,Cook County,IL,14000US17031561000,17031561000
2017,Total,44167," $44,167 "," $7,159 ","Census Tract 1912, Cook County, IL",1912,Cook County,IL,14000US17031191200,17031191200
2017,Total,42910," $42,910 "," $7,206 ","Census Tract 1913.01, Cook County, IL",1913.01,Cook County,IL,14000US17031191301,17031191301
2017,Total,26458," $26,458 "," $11,075 ","Census Tract 8369, Cook County, IL",8369,Cook County,IL,14000US17031836900,17031836900
2017,Total,84652," $84,652 "," $9,988 ","Census Tract 5609, Cook County, IL",5609,Cook County,IL,14000US17031560900,17031560900
2017,Total,43403," $43,403 "," $12,231 ","Census Tract 1913.02, Cook County, IL",1913.02,Cook County,IL,14000US17031191302,17031191302
2017,Total,44419," $44,419 "," $10,396 ","Census Tract 2001, Cook County, IL",2001,Cook County,IL,14000US17031200100,17031200100
2017,Total,66643," $66,643 "," $5,299 ","Census Tract 5608, Cook County, IL",5608,Cook County,IL,14000US17031560800,17031560800
2017,Total,37346," $37,346 "," $6,924 ","Census Tract 2002, Cook County, IL",2002,Cook County,IL,14000US17031200200,17031200200
2017,Total,40385," $40,385 "," $9,992 ","Census Tract 2003, Cook County, IL",2003,Cook County,IL,14000US17031200300,17031200300
2017,Total,12696," $12,696 "," $7,556 ","Census Tract 8368, Cook County, IL",8368,Cook County,IL,14000US17031836800,17031836800
2017,Total,49688," $49,688 "," $6,750 ","Census Tract 7307, Cook County, IL",7307,Cook County,IL,14000US17031730700,17031730700
2017,Total,38309," $38,309 "," $4,988 ","Census Tract 2004.01, Cook County, IL",2004.01,Cook County,IL,14000US17031200401,17031200401
2017,Total,54440," $54,440 "," $13,483 ","Census Tract 5607, Cook County, IL",5607,Cook County,IL,14000US17031560700,17031560700
2017,Total,42135," $42,135 "," $12,466 ","Census Tract 2004.02, Cook County, IL",2004.02,Cook County,IL,14000US17031200402,17031200402
2017,Total,52969," $52,969 "," $13,083 ","Census Tract 5604, Cook County, IL",5604,Cook County,IL,14000US17031560400,17031560400
2017,Total,56705," $56,705 "," $17,022 ","Census Tract 2101, Cook County, IL",2101,Cook County,IL,14000US17031210100,17031210100
2017,Total,42364," $42,364 "," $5,825 ","Census Tract 2104, Cook County, IL",2104,Cook County,IL,14000US17031210400,17031210400
2017,Total,24946," $24,946 "," $5,766 ","Census Tract 8367, Cook County, IL",8367,Cook County,IL,14000US17031836700,17031836700
2017,Total,52313," $52,313 "," $9,907 ","Census Tract 5603, Cook County, IL",5603,Cook County,IL,14000US17031560300,17031560300
2017,Total,42990," $42,990 "," $7,681 ","Census Tract 2105.01, Cook County, IL",2105.01,Cook County,IL,14000US17031210501,17031210501
2017,Total,44750," $44,750 "," $7,016 ","Census Tract 2105.02, Cook County, IL",2105.02,Cook County,IL,14000US17031210502,17031210502
2017,Total,48333," $48,333 "," $16,342 ","Census Tract 5602, Cook County, IL",5602,Cook County,IL,14000US17031560200,17031560200
2017,Total,61141," $61,141 "," $5,214 ","Census Tract 2106.01, Cook County, IL",2106.01,Cook County,IL,14000US17031210601,17031210601
2017,Total,54700," $54,700 "," $9,164 ","Census Tract 2106.02, Cook County, IL",2106.02,Cook County,IL,14000US17031210602,17031210602
2017,Total,44808," $44,808 "," $9,555 ","Census Tract 8366, Cook County, IL",8366,Cook County,IL,14000US17031836600,17031836600
2017,Total,89984," $89,984 "," $3,433 ","Census Tract 7401, Cook County, IL",7401,Cook County,IL,14000US17031740100,17031740100
2017,Total,51758," $51,758 "," $8,909 ","Census Tract 2107, Cook County, IL",2107,Cook County,IL,14000US17031210700,17031210700
2017,Total,60781," $60,781 "," $11,317 ","Census Tract 5601, Cook County, IL",5601,Cook County,IL,14000US17031560100,17031560100
2017,Total,59615," $59,615 "," $8,750 ","Census Tract 2108, Cook County, IL",2108,Cook County,IL,14000US17031210800,17031210800
2017,Total,52841," $52,841 "," $17,950 ","Census Tract 5502, Cook County, IL",5502,Cook County,IL,14000US17031550200,17031550200
2017,Total,54688," $54,688 "," $31,011 ","Census Tract 2109, Cook County, IL",2109,Cook County,IL,14000US17031210900,17031210900
2017,Total,85288," $85,288 "," $6,280 ","Census Tract 2203, Cook County, IL",2203,Cook County,IL,14000US17031220300,17031220300
2017,Total,32583," $32,583 "," $9,826 ","Census Tract 8365, Cook County, IL",8365,Cook County,IL,14000US17031836500,17031836500
2017,Total,56445," $56,445 "," $11,518 ","Census Tract 5501, Cook County, IL",5501,Cook County,IL,14000US17031550100,17031550100
2017,Total,88043," $88,043 "," $14,345 ","Census Tract 2204, Cook County, IL",2204,Cook County,IL,14000US17031220400,17031220400
2017,Total,80433," $80,433 "," $15,659 ","Census Tract 2205, Cook County, IL",2205,Cook County,IL,14000US17031220500,17031220500
2017,Total,14439," $14,439 "," $2,896 ","Census Tract 5401.02, Cook County, IL",5401.02,Cook County,IL,14000US17031540102,17031540102
2017,Total,58558," $58,558 "," $14,502 ","Census Tract 2206.01, Cook County, IL",2206.01,Cook County,IL,14000US17031220601,17031220601
2017,Total,44091," $44,091 "," $10,665 ","Census Tract 2206.02, Cook County, IL",2206.02,Cook County,IL,14000US17031220602,17031220602
2017,Total,30137," $30,137 "," $6,780 ","Census Tract 8364, Cook County, IL",8364,Cook County,IL,14000US17031836400,17031836400
2017,Total,97450," $97,450 "," $11,850 ","Census Tract 7402, Cook County, IL",7402,Cook County,IL,14000US17031740200,17031740200
2017,Total,67415," $67,415 "," $11,096 ","Census Tract 2207.01, Cook County, IL",2207.01,Cook County,IL,14000US17031220701,17031220701
2017,Total,12660," $12,660 "," $3,714 ","Census Tract 5401.01, Cook County, IL",5401.01,Cook County,IL,14000US17031540101,17031540101
2017,Total,61186," $61,186 "," $7,444 ","Census Tract 2207.02, Cook County, IL",2207.02,Cook County,IL,14000US17031220702,17031220702
2017,Total,32674," $32,674 "," $9,540 ","Census Tract 5306, Cook County, IL",5306,Cook County,IL,14000US17031530600,17031530600
2017,Total,41047," $41,047 "," $7,378 ","Census Tract 2209.01, Cook County, IL",2209.01,Cook County,IL,14000US17031220901,17031220901
2017,Total,46574," $46,574 "," $8,687 ","Census Tract 2209.02, Cook County, IL",2209.02,Cook County,IL,14000US17031220902,17031220902
2017,Total,54259," $54,259 "," $15,227 ","Census Tract 8363, Cook County, IL",8363,Cook County,IL,14000US17031836300,17031836300
2017,Total,35074," $35,074 "," $9,031 ","Census Tract 5305.03, Cook County, IL",5305.03,Cook County,IL,14000US17031530503,17031530503
2017,Total,38250," $38,250 "," $13,252 ","Census Tract 2210, Cook County, IL",2210,Cook County,IL,14000US17031221000,17031221000
2017,Total,53846," $53,846 "," $7,050 ","Census Tract 2211, Cook County, IL",2211,Cook County,IL,14000US17031221100,17031221100
2017,Total,41696," $41,696 "," $12,081 ","Census Tract 5305.02, Cook County, IL",5305.02,Cook County,IL,14000US17031530502,17031530502
2017,Total,82941," $82,941 "," $14,078 ","Census Tract 2212, Cook County, IL",2212,Cook County,IL,14000US17031221200,17031221200
2017,Total,62679," $62,679 "," $20,024 ","Census Tract 2213, Cook County, IL",2213,Cook County,IL,14000US17031221300,17031221300
2017,Total,50769," $50,769 "," $19,944 ","Census Tract 8362, Cook County, IL",8362,Cook County,IL,14000US17031836200,17031836200
2017,Total,110268," $110,268 "," $10,588 ","Census Tract 7403, Cook County, IL",7403,Cook County,IL,14000US17031740300,17031740300
2017,Total,70313," $70,313 "," $10,114 ","Census Tract 2214, Cook County, IL",2214,Cook County,IL,14000US17031221400,17031221400
2017,Total,42422," $42,422 "," $7,067 ","Census Tract 5305.01, Cook County, IL",5305.01,Cook County,IL,14000US17031530501,17031530501
2017,Total,58268," $58,268 "," $10,161 ","Census Tract 2215, Cook County, IL",2215,Cook County,IL,14000US17031221500,17031221500
2017,Total,48036," $48,036 "," $15,895 ","Census Tract 5304, Cook County, IL",5304,Cook County,IL,14000US17031530400,17031530400
2017,Total,107841," $107,841 "," $18,857 ","Census Tract 2216, Cook County, IL",2216,Cook County,IL,14000US17031221600,17031221600
2017,Total,130990," $130,990 "," $10,142 ","Census Tract 2222, Cook County, IL",2222,Cook County,IL,14000US17031222200,17031222200
2017,Total,25462," $25,462 "," $6,428 ","Census Tract 8361, Cook County, IL",8361,Cook County,IL,14000US17031836100,17031836100
2017,Total,39816," $39,816 "," $17,619 ","Census Tract 5303, Cook County, IL",5303,Cook County,IL,14000US17031530300,17031530300
2017,Total,58000," $58,000 "," $25,557 ","Census Tract 2225, Cook County, IL",2225,Cook County,IL,14000US17031222500,17031222500
2017,Total,65341," $65,341 "," $10,362 ","Census Tract 2226, Cook County, IL",2226,Cook County,IL,14000US17031222600,17031222600
2017,Total,29539," $29,539 "," $7,428 ","Census Tract 5302, Cook County, IL",5302,Cook County,IL,14000US17031530200,17031530200
2017,Total,62100," $62,100 "," $5,665 ","Census Tract 2227, Cook County, IL",2227,Cook County,IL,14000US17031222700,17031222700
2017,Total,40435," $40,435 "," $15,477 ","Census Tract 2228, Cook County, IL",2228,Cook County,IL,14000US17031222800,17031222800
2017,Total,60368," $60,368 "," $9,004 ","Census Tract 8360, Cook County, IL",8360,Cook County,IL,14000US17031836000,17031836000
2017,Total,82128," $82,128 "," $8,790 ","Census Tract 7404, Cook County, IL",7404,Cook County,IL,14000US17031740400,17031740400
2017,Total,43750," $43,750 "," $10,494 ","Census Tract 2229, Cook County, IL",2229,Cook County,IL,14000US17031222900,17031222900
2017,Total,34667," $34,667 "," $13,638 ","Census Tract 5301, Cook County, IL",5301,Cook County,IL,14000US17031530100,17031530100
2017,Total,51875," $51,875 "," $13,446 ","Census Tract 2301, Cook County, IL",2301,Cook County,IL,14000US17031230100,17031230100
2017,Total,42764," $42,764 "," $4,576 ","Census Tract 5206, Cook County, IL",5206,Cook County,IL,14000US17031520600,17031520600
2017,Total,44129," $44,129 "," $7,167 ","Census Tract 2302, Cook County, IL",2302,Cook County,IL,14000US17031230200,17031230200
2017,Total,41033," $41,033 "," $16,676 ","Census Tract 2303, Cook County, IL",2303,Cook County,IL,14000US17031230300,17031230300
2017,Total,18856," $18,856 "," $3,463 ","Census Tract 8359, Cook County, IL",8359,Cook County,IL,14000US17031835900,17031835900
2017,Total,62203," $62,203 "," $14,741 ","Census Tract 5205, Cook County, IL",5205,Cook County,IL,14000US17031520500,17031520500
2017,Total,56250," $56,250 "," $23,728 ","Census Tract 2304, Cook County, IL",2304,Cook County,IL,14000US17031230400,17031230400
2017,Total,31473," $31,473 "," $5,795 ","Census Tract 2305, Cook County, IL",2305,Cook County,IL,14000US17031230500,17031230500
2017,Total,42227," $42,227 "," $13,299 ","Census Tract 5204, Cook County, IL",5204,Cook County,IL,14000US17031520400,17031520400
2017,Total,34716," $34,716 "," $3,940 ","Census Tract 2306, Cook County, IL",2306,Cook County,IL,14000US17031230600,17031230600
2017,Total,39298," $39,298 "," $4,357 ","Census Tract 2307, Cook County, IL",2307,Cook County,IL,14000US17031230700,17031230700
2017,Total,60598," $60,598 "," $22,065 ","Census Tract 8358, Cook County, IL",8358,Cook County,IL,14000US17031835800,17031835800
2017,Total,38859," $38,859 "," $10,553 ","Census Tract 7501, Cook County, IL",7501,Cook County,IL,14000US17031750100,17031750100
2017,Total,68250," $68,250 "," $18,234 ","Census Tract 2308, Cook County, IL",2308,Cook County,IL,14000US17031230800,17031230800
2017,Total,41465," $41,465 "," $3,540 ","Census Tract 5203, Cook County, IL",5203,Cook County,IL,14000US17031520300,17031520300
2017,Total,38611," $38,611 "," $7,168 ","Census Tract 2309, Cook County, IL",2309,Cook County,IL,14000US17031230900,17031230900
2017,Total,36228," $36,228 "," $6,403 ","Census Tract 5202, Cook County, IL",5202,Cook County,IL,14000US17031520200,17031520200
2017,Total,33750," $33,750 "," $12,947 ","Census Tract 2311, Cook County, IL",2311,Cook County,IL,14000US17031231100,17031231100
2017,Total,29120," $29,120 "," $8,497 ","Census Tract 2312, Cook County, IL",2312,Cook County,IL,14000US17031231200,17031231200
2017,Total,35365," $35,365 "," $12,309 ","Census Tract 5201, Cook County, IL",5201,Cook County,IL,14000US17031520100,17031520100
2017,Total,28013," $28,013 "," $6,082 ","Census Tract 2315, Cook County, IL",2315,Cook County,IL,14000US17031231500,17031231500
2017,Total,124545," $124,545 "," $12,805 ","Census Tract 2402, Cook County, IL",2402,Cook County,IL,14000US17031240200,17031240200
2017,Total,26458," $26,458 "," $10,959 ","Census Tract 8356, Cook County, IL",8356,Cook County,IL,14000US17031835600,17031835600
2017,Total,30625," $30,625 "," $10,612 ","Census Tract 5103, Cook County, IL",5103,Cook County,IL,14000US17031510300,17031510300
2017,Total,116042," $116,042 "," $27,894 ","Census Tract 2403, Cook County, IL",2403,Cook County,IL,14000US17031240300,17031240300
2017,Total,151369," $151,369 "," $15,392 ","Census Tract 2405, Cook County, IL",2405,Cook County,IL,14000US17031240500,17031240500
2017,Total,66326," $66,326 "," $11,934 ","Census Tract 7502, Cook County, IL",7502,Cook County,IL,14000US17031750200,17031750200
2017,Total,43289," $43,289 "," $6,236 ","Census Tract 5102, Cook County, IL",5102,Cook County,IL,14000US17031510200,17031510200
2017,Total,103333," $103,333 "," $20,079 ","Census Tract 2406, Cook County, IL",2406,Cook County,IL,14000US17031240600,17031240600
2017,Total,57321," $57,321 "," $34,668 ","Census Tract 2407, Cook County, IL",2407,Cook County,IL,14000US17031240700,17031240700
2017,Total,20517," $20,517 "," $4,028 ","Census Tract 8355, Cook County, IL",8355,Cook County,IL,14000US17031835500,17031835500
2017,Total,42632," $42,632 "," $13,862 ","Census Tract 5101, Cook County, IL",5101,Cook County,IL,14000US17031510100,17031510100
2017,Total,44444," $44,444 "," $10,981 ","Census Tract 2408, Cook County, IL",2408,Cook County,IL,14000US17031240800,17031240800
2017,Total,39219," $39,219 "," $5,592 ","Census Tract 2409, Cook County, IL",2409,Cook County,IL,14000US17031240900,17031240900
2017,Total,41587," $41,587 "," $6,719 ","Census Tract 5003, Cook County, IL",5003,Cook County,IL,14000US17031500300,17031500300
2017,Total,59327," $59,327 "," $9,627 ","Census Tract 2410, Cook County, IL",2410,Cook County,IL,14000US17031241000,17031241000
2017,Total,79803," $79,803 "," $9,453 ","Census Tract 2411, Cook County, IL",2411,Cook County,IL,14000US17031241100,17031241100
2017,Total,45417," $45,417 "," $4,921 ","Census Tract 8352, Cook County, IL",8352,Cook County,IL,14000US17031835200,17031835200
2017,Total,34038," $34,038 "," $15,480 ","Census Tract 5002, Cook County, IL",5002,Cook County,IL,14000US17031500200,17031500200
2017,Total,104750," $104,750 "," $15,819 ","Census Tract 2412, Cook County, IL",2412,Cook County,IL,14000US17031241200,17031241200
2017,Total,117396," $117,396 "," $24,868 ","Census Tract 2413, Cook County, IL",2413,Cook County,IL,14000US17031241300,17031241300
2017,Total,85888," $85,888 "," $6,680 ","Census Tract 7503, Cook County, IL",7503,Cook County,IL,14000US17031750300,17031750300
2017,Total,41570," $41,570 "," $6,154 ","Census Tract 5001, Cook County, IL",5001,Cook County,IL,14000US17031500100,17031500100
2017,Total,101480," $101,480 "," $15,966 ","Census Tract 2414, Cook County, IL",2414,Cook County,IL,14000US17031241400,17031241400
2017,Total,123304," $123,304 "," $38,342 ","Census Tract 2415, Cook County, IL",2415,Cook County,IL,14000US17031241500,17031241500
2017,Total,35962," $35,962 "," $7,025 ","Census Tract 8351, Cook County, IL",8351,Cook County,IL,14000US17031835100,17031835100
2017,Total,28774," $28,774 "," $8,098 ","Census Tract 4914, Cook County, IL",4914,Cook County,IL,14000US17031491400,17031491400
2017,Total,91983," $91,983 "," $12,185 ","Census Tract 2416, Cook County, IL",2416,Cook County,IL,14000US17031241600,17031241600
2017,Total,64559," $64,559 "," $35,093 ","Census Tract 2420, Cook County, IL",2420,Cook County,IL,14000US17031242000,17031242000
2017,Total,25912," $25,912 "," $3,592 ","Census Tract 4913, Cook County, IL",4913,Cook County,IL,14000US17031491300,17031491300
2017,Total,125217," $125,217 "," $21,088 ","Census Tract 2421, Cook County, IL",2421,Cook County,IL,14000US17031242100,17031242100
2017,Total,92083," $92,083 "," $19,716 ","Census Tract 2422, Cook County, IL",2422,Cook County,IL,14000US17031242200,17031242200
2017,Total,26926," $26,926 "," $2,541 ","Census Tract 8350, Cook County, IL",8350,Cook County,IL,14000US17031835000,17031835000
2017,Total,42400," $42,400 "," $12,737 ","Census Tract 4912, Cook County, IL",4912,Cook County,IL,14000US17031491200,17031491200
2017,Total,86976," $86,976 "," $14,430 ","Census Tract 2423, Cook County, IL",2423,Cook County,IL,14000US17031242300,17031242300
2017,Total,77311," $77,311 "," $13,269 ","Census Tract 2424, Cook County, IL",2424,Cook County,IL,14000US17031242400,17031242400
2017,Total,93188," $93,188 "," $12,263 ","Census Tract 7504, Cook County, IL",7504,Cook County,IL,14000US17031750400,17031750400
2017,Total,43382," $43,382 "," $12,695 ","Census Tract 4911, Cook County, IL",4911,Cook County,IL,14000US17031491100,17031491100
2017,Total,64167," $64,167 "," $14,284 ","Census Tract 2425, Cook County, IL",2425,Cook County,IL,14000US17031242500,17031242500
2017,Total,56314," $56,314 "," $14,064 ","Census Tract 2426, Cook County, IL",2426,Cook County,IL,14000US17031242600,17031242600
2017,Total,18401," $18,401 "," $4,735 ","Census Tract 8349, Cook County, IL",8349,Cook County,IL,14000US17031834900,17031834900
2017,Total,28472," $28,472 "," $9,466 ","Census Tract 4910, Cook County, IL",4910,Cook County,IL,14000US17031491000,17031491000
2017,Total,31375," $31,375 "," $21,541 ","Census Tract 2427, Cook County, IL",2427,Cook County,IL,14000US17031242700,17031242700
2017,Total,80679," $80,679 "," $15,544 ","Census Tract 2428, Cook County, IL",2428,Cook County,IL,14000US17031242800,17031242800
2017,Total,42481," $42,481 "," $6,711 ","Census Tract 4909.02, Cook County, IL",4909.02,Cook County,IL,14000US17031490902,17031490902
2017,Total,67500," $67,500 "," $15,660 ","Census Tract 2429, Cook County, IL",2429,Cook County,IL,14000US17031242900,17031242900
2017,Total,73320," $73,320 "," $16,612 ","Census Tract 2430, Cook County, IL",2430,Cook County,IL,14000US17031243000,17031243000
2017,Total,20559," $20,559 "," $3,623 ","Census Tract 8348, Cook County, IL",8348,Cook County,IL,14000US17031834800,17031834800
2017,Total,39750," $39,750 "," $7,287 ","Census Tract 4909.01, Cook County, IL",4909.01,Cook County,IL,14000US17031490901,17031490901
2017,Total,101458," $101,458 "," $15,332 ","Census Tract 2431, Cook County, IL",2431,Cook County,IL,14000US17031243100,17031243100
2017,Total,108750," $108,750 "," $18,120 ","Census Tract 2432, Cook County, IL",2432,Cook County,IL,14000US17031243200,17031243200
2017,Total,55485," $55,485 "," $14,801 ","Census Tract 7505, Cook County, IL",7505,Cook County,IL,14000US17031750500,17031750500
2017,Total,34723," $34,723 "," $9,922 ","Census Tract 4908, Cook County, IL",4908,Cook County,IL,14000US17031490800,17031490800
2017,Total,76339," $76,339 "," $10,226 ","Census Tract 2433, Cook County, IL",2433,Cook County,IL,14000US17031243300,17031243300
2017,Total,87708," $87,708 "," $20,117 ","Census Tract 2434, Cook County, IL",2434,Cook County,IL,14000US17031243400,17031243400
2017,Total,21802," $21,802 "," $4,224 ","Census Tract 8347, Cook County, IL",8347,Cook County,IL,14000US17031834700,17031834700
2017,Total,37245," $37,245 "," $6,528 ","Census Tract 4907, Cook County, IL",4907,Cook County,IL,14000US17031490700,17031490700
2017,Total,101375," $101,375 "," $14,459 ","Census Tract 2435, Cook County, IL",2435,Cook County,IL,14000US17031243500,17031243500
2017,Total,45859," $45,859 "," $9,480 ","Census Tract 2502, Cook County, IL",2502,Cook County,IL,14000US17031250200,17031250200
2017,Total,37127," $37,127 "," $5,443 ","Census Tract 4906, Cook County, IL",4906,Cook County,IL,14000US17031490600,17031490600
2017,Total,31551," $31,551 "," $4,959 ","Census Tract 2503, Cook County, IL",2503,Cook County,IL,14000US17031250300,17031250300
2017,Total,34564," $34,564 "," $9,798 ","Census Tract 2504, Cook County, IL",2504,Cook County,IL,14000US17031250400,17031250400
2017,Total,21196," $21,196 "," $5,819 ","Census Tract 8346, Cook County, IL",8346,Cook County,IL,14000US17031834600,17031834600
2017,Total,52464," $52,464 "," $9,575 ","Census Tract 4905, Cook County, IL",4905,Cook County,IL,14000US17031490500,17031490500
2017,Total,74347," $74,347 "," $14,360 ","Census Tract 2505, Cook County, IL",2505,Cook County,IL,14000US17031250500,17031250500
2017,Total,45469," $45,469 "," $10,152 ","Census Tract 2506, Cook County, IL",2506,Cook County,IL,14000US17031250600,17031250600
2017,Total,34470," $34,470 "," $10,485 ","Census Tract 7506, Cook County, IL",7506,Cook County,IL,14000US17031750600,17031750600
2017,Total,49881," $49,881 "," $14,838 ","Census Tract 4904, Cook County, IL",4904,Cook County,IL,14000US17031490400,17031490400
2017,Total,31370," $31,370 "," $11,472 ","Census Tract 2507, Cook County, IL",2507,Cook County,IL,14000US17031250700,17031250700
2017,Total,38462," $38,462 "," $3,418 ","Census Tract 2508, Cook County, IL",2508,Cook County,IL,14000US17031250800,17031250800
2017,Total,31483," $31,483 "," $6,443 ","Census Tract 8345, Cook County, IL",8345,Cook County,IL,14000US17031834500,17031834500
2017,Total,52500," $52,500 "," $5,530 ","Census Tract 4903, Cook County, IL",4903,Cook County,IL,14000US17031490300,17031490300
2017,Total,37000," $37,000 "," $10,072 ","Census Tract 2510, Cook County, IL",2510,Cook County,IL,14000US17031251000,17031251000
2017,Total,21274," $21,274 "," $4,922 ","Census Tract 2511, Cook County, IL",2511,Cook County,IL,14000US17031251100,17031251100
2017,Total,39329," $39,329 "," $14,680 ","Census Tract 4805, Cook County, IL",4805,Cook County,IL,14000US17031480500,17031480500
2017,Total,44428," $44,428 "," $8,218 ","Census Tract 2512, Cook County, IL",2512,Cook County,IL,14000US17031251200,17031251200
2017,Total,29255," $29,255 "," $3,821 ","Census Tract 2513, Cook County, IL",2513,Cook County,IL,14000US17031251300,17031251300
2017,Total,38233," $38,233 "," $5,681 ","Census Tract 8344, Cook County, IL",8344,Cook County,IL,14000US17031834400,17031834400
2017,Total,51520," $51,520 "," $6,617 ","Census Tract 4804, Cook County, IL",4804,Cook County,IL,14000US17031480400,17031480400
2017,Total,29518," $29,518 "," $7,409 ","Census Tract 2514, Cook County, IL",2514,Cook County,IL,14000US17031251400,17031251400
2017,Total,21567," $21,567 "," $6,339 ","Census Tract 2515, Cook County, IL",2515,Cook County,IL,14000US17031251500,17031251500
2017,Total,55500," $55,500 "," $17,795 ","Census Tract 7608.01, Cook County, IL",7608.01,Cook County,IL,14000US17031760801,17031760801
2017,Total,31953," $31,953 "," $14,529 ","Census Tract 4803, Cook County, IL",4803,Cook County,IL,14000US17031480300,17031480300
2017,Total,33189," $33,189 "," $4,380 ","Census Tract 2516, Cook County, IL",2516,Cook County,IL,14000US17031251600,17031251600
2017,Total,31250," $31,250 "," $7,771 ","Census Tract 2517, Cook County, IL",2517,Cook County,IL,14000US17031251700,17031251700
2017,Total,34140," $34,140 "," $12,164 ","Census Tract 8343, Cook County, IL",8343,Cook County,IL,14000US17031834300,17031834300
2017,Total,37381," $37,381 "," $11,157 ","Census Tract 4802, Cook County, IL",4802,Cook County,IL,14000US17031480200,17031480200
2017,Total,23295," $23,295 "," $7,550 ","Census Tract 2518, Cook County, IL",2518,Cook County,IL,14000US17031251800,17031251800
2017,Total,20092," $20,092 "," $2,502 ","Census Tract 2519, Cook County, IL",2519,Cook County,IL,14000US17031251900,17031251900
2017,Total,64191," $64,191 "," $8,697 ","Census Tract 4801, Cook County, IL",4801,Cook County,IL,14000US17031480100,17031480100
2017,Total,21879," $21,879 "," $7,152 ","Census Tract 2520, Cook County, IL",2520,Cook County,IL,14000US17031252000,17031252000
2017,Total,21339," $21,339 "," $6,571 ","Census Tract 2521.01, Cook County, IL",2521.01,Cook County,IL,14000US17031252101,17031252101
2017,Total,33835," $33,835 "," $9,121 ","Census Tract 8342, Cook County, IL",8342,Cook County,IL,14000US17031834200,17031834200
2017,Total,24821," $24,821 "," $9,035 ","Census Tract 4701, Cook County, IL",4701,Cook County,IL,14000US17031470100,17031470100
2017,Total,39243," $39,243 "," $9,038 ","Census Tract 2521.02, Cook County, IL",2521.02,Cook County,IL,14000US17031252102,17031252102
2017,Total,33295," $33,295 "," $6,802 ","Census Tract 2522.01, Cook County, IL",2522.01,Cook County,IL,14000US17031252201,17031252201
2017,Total,51595," $51,595 "," $8,851 ","Census Tract 7608.02, Cook County, IL",7608.02,Cook County,IL,14000US17031760802,17031760802
2017,Total,14385," $14,385 "," $1,322 ","Census Tract 4610, Cook County, IL",4610,Cook County,IL,14000US17031461000,17031461000
2017,Total,26826," $26,826 "," $3,782 ","Census Tract 2522.02, Cook County, IL",2522.02,Cook County,IL,14000US17031252202,17031252202
2017,Total,15778," $15,778 "," $2,907 ","Census Tract 2601, Cook County, IL",2601,Cook County,IL,14000US17031260100,17031260100
2017,Total,34864," $34,864 "," $10,981 ","Census Tract 8340, Cook County, IL",8340,Cook County,IL,14000US17031834000,17031834000
2017,Total,21306," $21,306 "," $6,176 ","Census Tract 4607, Cook County, IL",4607,Cook County,IL,14000US17031460700,17031460700
2017,Total,33750," $33,750 "," $12,220 ","Census Tract 2602, Cook County, IL",2602,Cook County,IL,14000US17031260200,17031260200
2017,Total,30234," $30,234 "," $10,188 ","Census Tract 2603, Cook County, IL",2603,Cook County,IL,14000US17031260300,17031260300
2017,Total,36161," $36,161 "," $9,332 ","Census Tract 4606, Cook County, IL",4606,Cook County,IL,14000US17031460600,17031460600
2017,Total,18218," $18,218 "," $3,202 ","Census Tract 2604, Cook County, IL",2604,Cook County,IL,14000US17031260400,17031260400
2017,Total,29545," $29,545 "," $8,535 ","Census Tract 2605, Cook County, IL",2605,Cook County,IL,14000US17031260500,17031260500
2017,Total,32159," $32,159 "," $12,897 ","Census Tract 8339, Cook County, IL",8339,Cook County,IL,14000US17031833900,17031833900
2017,Total,37168," $37,168 "," $6,733 ","Census Tract 4605, Cook County, IL",4605,Cook County,IL,14000US17031460500,17031460500
2017,Total,20882," $20,882 "," $5,029 ","Census Tract 2606, Cook County, IL",2606,Cook County,IL,14000US17031260600,17031260600
2017,Total,23367," $23,367 "," $2,888 ","Census Tract 2607, Cook County, IL",2607,Cook County,IL,14000US17031260700,17031260700
2017,Total,41545," $41,545 "," $4,751 ","Census Tract 7608.03, Cook County, IL",7608.03,Cook County,IL,14000US17031760803,17031760803
2017,Total,39151," $39,151 "," $10,392 ","Census Tract 4604, Cook County, IL",4604,Cook County,IL,14000US17031460400,17031460400
2017,Total,22083," $22,083 "," $4,942 ","Census Tract 2608, Cook County, IL",2608,Cook County,IL,14000US17031260800,17031260800
2017,Total,22000," $22,000 "," $12,712 ","Census Tract 2609, Cook County, IL",2609,Cook County,IL,14000US17031260900,17031260900
2017,Total,45833," $45,833 "," $15,394 ","Census Tract 8333, Cook County, IL",8333,Cook County,IL,14000US17031833300,17031833300
2017,Total,23345," $23,345 "," $3,719 ","Census Tract 4603.02, Cook County, IL",4603.02,Cook County,IL,14000US17031460302,17031460302
2017,Total,24688," $24,688 "," $10,301 ","Census Tract 2610, Cook County, IL",2610,Cook County,IL,14000US17031261000,17031261000
2017,Total,16103," $16,103 "," $5,104 ","Census Tract 2705, Cook County, IL",2705,Cook County,IL,14000US17031270500,17031270500
